,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
2501,5.218,-0.228,12.868,-47.6,15.1,19.278,19.842,18.726,0,0.5519999999999996,0.5640000000000001,1.1159999999999997
26889,2.173,0.822,49.812,24.0,32.0,14.539,14.691,14.254,0,0.2850000000000001,0.152000000000001,0.4370000000000011
28270,2.232,0.613,12.369,-128.6,-67.8,18.064,18.233,17.768,0,0.2959999999999994,0.1690000000000004,0.4649999999999998
6481,1.363,0.626,10.956,106.4,-137.8,18.164,18.233,18.011,0,0.1530000000000022,0.068999999999999,0.2220000000000013
97212,2.475,0.727,24.701,-231.2,-1749.6,19.229,19.892,18.565,2,0.6639999999999979,0.6630000000000003,1.3269999999999982
20291,5.453,-0.375,12.426,44.8,-158.8,19.475,19.737,19.049,0,0.4260000000000019,0.2619999999999969,0.6879999999999988
77244,0.48,0.652,10.139,671.1,-370.0,18.102,18.286,17.771,2,0.3309999999999995,0.184000000000001,0.5150000000000006
54860,0.366,-0.263,10.019,-11.9,-154.2,18.731,18.879,18.264,1,0.4670000000000023,0.1479999999999997,0.615000000000002
69371,1.219,0.37,14.044,225.1,-86.1,19.52,20.187,18.911,1,0.6089999999999982,0.6670000000000016,1.2759999999999998
11076,5.571,0.465,10.882,-74.2,-63.9,18.144,18.249,17.922,0,0.2219999999999977,0.1050000000000004,0.3269999999999982
70370,4.843,-0.514,12.164,-56.7,-33.4,19.525,19.941,18.926,1,0.5990000000000002,0.4160000000000003,1.0150000000000006
8096,1.422,-0.346,16.99,245.8,3.9,18.612,19.082,17.99,0,0.6219999999999999,0.4700000000000024,1.0920000000000023
38550,1.838,1.056,11.938,-5.6,-22.3,18.128,18.385,17.755,1,0.3730000000000011,0.2570000000000014,0.6300000000000026
97355,4.22,-0.185,23.26,-1014.6,-2487.6,18.651,19.225,17.909,2,0.7420000000000009,0.5740000000000016,1.3160000000000025
82945,4.104,-1.072,15.631,-513.1,-856.1,19.485,20.141,18.801,2,0.684000000000001,0.6559999999999988,1.34
62454,5.71,-0.288,22.014,-45.8,-380.8,18.143,18.625,17.506,1,0.6370000000000005,0.4819999999999993,1.1189999999999998
100806,2.525,0.396,16.199,-644.0,-259.1,19.7,20.259,18.892,2,0.8079999999999998,0.559000000000001,1.3670000000000009
105911,2.084,1.322,17.58,200.2,-883.5,18.433,18.872,17.821,2,0.6119999999999983,0.439,1.0509999999999984
51195,4.773,1.183,11.767,-83.0,154.4,16.816,16.881,16.681,1,0.134999999999998,0.0650000000000012,0.1999999999999993
24487,4.089,-0.495,20.685,-97.3,-80.6,16.588,16.699,16.353,0,0.2349999999999994,0.1110000000000006,0.3460000000000001
32976,0.816,-0.082,11.934,109.0,9.5,19.631,20.062,18.972,0,0.6589999999999989,0.4310000000000009,1.09
31345,3.643,-1.019,15.59,-108.9,-79.6,19.005,19.449,18.371,0,0.6340000000000003,0.4440000000000026,1.078000000000003
108644,2.978,0.12,14.038,51.7,-1414.4,16.929,17.046,16.699,2,0.2299999999999968,0.1170000000000008,0.3469999999999977
84527,0.912,-0.629,14.491,566.8,444.4,18.908,19.338,18.34,2,0.5680000000000014,0.4299999999999997,0.9980000000000012
26644,3.496,-1.133,11.753,-91.2,27.2,19.504,20.031,18.892,0,0.6120000000000019,0.5269999999999975,1.1389999999999991
47865,3.261,-0.428,12.624,-3.2,15.3,19.634,20.199,18.968,1,0.6660000000000004,0.5650000000000013,1.2310000000000016
81771,1.934,0.023,16.104,715.1,-1944.4,16.439,16.536,16.224,2,0.2149999999999998,0.0970000000000013,0.3120000000000011
30472,3.833,0.888,13.076,-12.0,46.8,17.798,17.885,17.575,0,0.2229999999999989,0.0870000000000033,0.3100000000000023
18389,3.917,0.373,15.328,90.3,-110.9,19.2,19.644,18.591,0,0.6089999999999982,0.443999999999999,1.0529999999999973
92170,4.336,0.094,12.672,-630.6,-982.6,16.691,16.758,16.547,2,0.1439999999999983,0.0670000000000001,0.2109999999999985
